"id","first_blood_time","radiant_gold_advantage","radiant_experience_advantage","radiant_win","min_radiant_gold_advantage","max_radiant_gold_advantage","mean_radiant_gold_advantage","std_dev_radiant_gold_advantage","final_radiant_gold_advantage","min_radiant_experience_advantage","max_radiant_experience_advantage","mean_radiant_experience_advantage","std_dev_radiant_experience_advantage","final_radiant_experience_advantage"
7987609046,15,"{100,789,1188,705,1663,1946,2385,3982,3725,4370,6120,1781,2822,502,2283,4087,5816,8794,9884,13680}","{70,-9,513,145,1049,918,1318,2111,3179,4218,5720,7798,10659,11357,14623,19139,19064,22491,23582,26827}",true,100,13680,3831.10000,3441.05914,13680,-9,26827,8738.60000,8861.14249,26827
7987608938,170,"{100,104,656,1154,785,415,549,2020,2828,4387,4893,5651,6629,6311,8313,8786,5326,7234,7121,7184,7059,7730,5158,4102,4308,846,544,1006,1506,1090,-3069,-8191,-10984,-13067}","{70,-33,407,398,176,156,88,1079,2135,3980,4656,6038,6565,5894,7219,5439,1824,2252,2367,3580,2540,2920,-64,-778,16,-6181,-6470,-4015,-3058,-4617,-12928,-16169,-20063,-24404}",false,-13067,8786,2308.35294,5049.60403,-13067,-24404,7219,-1146.50000,7257.53816,-24404
7987608905,173,"{0,-232,-377,-1105,-1606,-2196,-2398,-2142,-3243,-5464,-6529,-7652,-7898,-10050,-11383,-11380,-13547,-14202,-16296,-21126,-23963,-26064,-29525,-36237}","{0,-154,-8,-177,-866,-1347,-1975,-1712,-3116,-5245,-5555,-6241,-6373,-8390,-10421,-9779,-12432,-14163,-16178,-20587,-21623,-24842,-24785,-26312}",false,-36237,0,-10608.95833,10036.30352,-36237,-26312,0,-9261.70833,8672.28406,-26312
7987608518,9,"{0,-698,-1176,-2572,-2504,-5252,-6100,-11534,-12898,-14364,-18668,-18912,-20912,-24830,-35312}","{0,73,-503,-2235,-3061,-6292,-6336,-10776,-13257,-15542,-21285,-23885,-17117,-31900,-52908}",false,-35312,0,-11715.46667,10110.78140,-35312,-52908,73,-13668.26667,14044.83614,-52908
7987608397,9,"{0,-174,63,232,431,478,540,-37,-904,-1281,-1127,6,241,-165,-492,281,1328,2715,4156,4395,4583,5080,5265,4420,3878,3135,3262,3133,4561,12443,12595,18913}","{0,417,477,695,952,614,840,175,291,-354,-620,1419,1513,2233,2091,3497,5153,6952,8246,7892,8010,7138,7197,6128,4547,1068,2164,1303,3206,12423,15511,24673}",true,-1281,18913,2873.56250,4393.79705,18913,-620,24673,4245.34375,5316.34468,24673
7987608392,2,"{0,-817,-591,-501,-769,-889,-1051,-1101,-998,-1034,-1320,-1553,-933,-1854,-924,-776,92,-2318,1446,1287,106,-3246,-2754,-3111,-5966,-6616,-8290,-9402,-9189,-10371,-11462,-12674,-12391,-19603,-24478}","{0,49,-10,-55,-456,-669,-368,-745,-1046,-989,-1107,-2147,-1557,-2393,-2193,-56,707,-2703,2242,1271,731,-3536,-5646,-7261,-11450,-12414,-15980,-17657,-17168,-19441,-19315,-21310,-20688,-27292,-30718}",false,-24478,1446,-4401.45714,5936.12750,-24478,-30718,2242,-6896.28571,9162.67371,-30718
7987608305,76,"{0,896,1910,1992,986,50,-922,-1196,-3996,-634,-214,1106,6522,13592,17220,22844,36228,36042,28892,34432,37276}","{0,-124,-34,-306,-1466,-2398,-1812,-4866,-11532,-3394,-12257,-2202,14870,34863,44906,59719,93569,92000,68291,69929,50433}",true,-3996,37276,11096.47619,14655.57852,37276,-12257,93569,23247.09524,34724.36252,50433
7987608256,50,"{0,614,556,-528,530,1142,4496,6280,5926,7266,10440,11114,15390,14910,16145,9873,6603,7017,-943,-4137,5947,7042,14666,22944,25490}","{0,376,363,110,1479,1304,4288,6973,9481,10661,14425,15452,19976,14995,17143,7830,3042,4096,-19614,-23320,1867,359,35918,47337,60002}",true,-4137,25490,7551.32000,7379.49325,25490,-23320,60002,9381.72000,17423.60517,60002
7987608195,11,"{0,354,-210,-2350,-2560,-5384,-5260,-8114,-7778,-7590,-11062,-12940,-13066,-16844,-22010,-18950,-19908,-23690,-33454,-33224,-33316,-38334,-50524}","{0,339,-427,-1461,-1763,-4055,-3247,-8335,-6146,-7283,-12418,-10682,-9332,-13288,-22453,-14704,-15546,-23003,-40652,-37824,-36872,-53830,-65876}",false,-50524,354,-15922.34783,13708.65459,-50524,-65876,339,-16906.86957,17841.90576,-65876
7987608093,53,"{0,-502,-832,-963,-1658,-1376,-1650,-1359,-1890,-2386,-4156,-3701,-4274,-4957,-7307,-7781,-9759,-11065,-10822,-10345,-10670,-13235,-19084}","{0,-199,-669,-832,-1497,-1266,-1056,-913,-2094,-2625,-4767,-4208,-5439,-6484,-8286,-7991,-10126,-12301,-14021,-13288,-15236,-17594,-22749}",false,-19084,0,-5642.26087,4982.16822,-19084,-22749,0,-6680.04348,6333.83104,-22749
